Branche,Shop_ID,Snaphot_Date
Living,324616,2021-12-09
Living,324671,2021-12-09
Living,324677,2021-12-09
Living,324681,2022-03-02
Living,324691,2021-12-09
Living,324710,2022-03-02
Living,324719,2021-12-09
Living,324729,2021-12-09
Living,324730,2022-06-20
Living,324802,2022-03-02
Living,324804,2021-12-09
Living,324806,2022-03-02
Living,324840,2022-03-02
Living,324866,2022-03-02
Living,324928,2022-03-02
Living,324942,2022-04-07
Living,324945,2022-03-02
Living,324963,2022-03-02
Living,325004,2022-03-02
Living,325032,2022-03-02
Living,325056,2022-03-02
Living,325082,2022-03-02
Living,325094,2022-03-02
Living,325101,2022-03-02
Living,325106,2022-04-07
Living,325109,2022-03-02
Living,325111,2022-03-02
Living,325115,2022-03-02
Living,325180,2022-04-07
Living,325207,2022-03-02
Living,325210,2022-03-02
Living,325211,2022-03-02
Living,325216,2022-03-02
Living,325247,2022-04-07
Living,325265,2022-03-02
Living,325308,2022-06-20
Living,325325,2022-04-07
Living,325333,2022-03-02
Living,325360,2022-03-02
Living,325369,2022-03-02
Living,325372,2022-06-20
Living,325418,2022-03-02
Living,325421,2022-03-02
Living,325422,2022-04-07
Living,325433,2022-04-07
Living,325444,2022-04-07
Living,325448,2022-03-02
Living,325490,2022-04-07
Living,325534,2022-03-02
Living,325536,2022-04-07
Living,325585,2022-06-20
Living,325608,2022-04-07
Living,325629,2022-04-07
Living,325643,2022-04-07
Living,325649,2022-04-07
Living,325658,2022-06-20
Living,325680,2022-06-20
Living,325724,2022-06-20
Living,325736,2022-06-20
Living,325737,2022-06-20
Living,325769,2022-06-20
Living,325799,2022-06-20
Living,325867,2022-06-20
Living,325885,2022-06-20
Living,325897,2022-06-20
Living,325904,2022-06-20
Living,325924,2022-06-20
Living,325937,2022-06-20
Living,325957,2022-06-20
Living,326023,2022-06-20
Living,326064,2022-06-20
Living,326093,2022-06-20
Living,326100,2022-06-20
Living,326135,2022-06-20
Living,326184,2022-06-20
Living,326194,2022-06-20
Living,326231,2022-06-20
Living,326279,2022-06-20
Living,326301,2022-06-20
